Datum	Event_Name	Venue
2022-11-23	Die Scham R.: E.Hauswirth  musik: kmet	volkstheater
2022-11-24	KNH-Open House Special: Act & Paint	cafe max
2022-11-25	on the couch #76 - Hell/Leibetseder/Stangl	studio eberhard
2022-11-26	The Hitchhiker’s guide to the synestheti...	reaktor
2022-11-26	Die Scham R.: E.Hauswirth  musik: kmet	volkstheater
2022-11-27	Konzert für die Fische / Dronau Canal	central garden
2022-11-28	monday improvisers session	celeste
2022-11-29	Marina Poleukhina: Right-left I you step a...	echoraum
2022-11-30	charhizma presents: catalytic sounds#8: Ch...	porgy&bess
2022-11-30	Marina Poleukhina: Right-left I you step a...	echoraum
2022-12-02	Christine Abdelnour & Christof Kurzmann	echoraum
2022-12-04	close| distant  - Matinee	westbahnstudios
2022-12-05	monday improvisers session	celeste
2022-12-07	billy roisz - ceci n'est pas une télévision	echoraum
2022-12-08	KNH-Open House Special: Alelucrezia & die ...	cafe max
2022-12-10	Nachhall #4: Daphne Oram – Tuned Visions	echoraum
2022-12-10	smallforms	chateau rouge
2022-12-10	Tag der Menschenrechte | Performance	cafe max
2022-12-10	puneh ansari liest. beauchamp * geissler s...	vekks
2022-12-10	Sounds evoking images - Screening + Kutin ...	reaktor
2022-12-11	Die Scham R.: E.Hauswirth  musik: kmet	volkstheater
2022-12-12	monday improvisers session	celeste
2022-12-14	Die Scham R.: E.Hauswirth  musik: kmet	volkstheater
2022-12-14	KNH-Signs over Wo:men #8	cafe max
2022-12-15	Pneuma	echoraum
2022-12-15	KNH-Open House Special: Bari Comics	cafe max
2022-12-16	on the couch #77 - Eberhard/Gross/Herbert	studio eberhard
2022-12-16	billy roisz - electric saloon	echoraum
2022-12-16	airborne extended	gleis 21
2022-12-19	charhizma presents: catalytic sounds#9: ch...	porgy&bess
2022-12-19	monday improvisers session	celeste
2022-12-20	Die Scham R.: E.Hauswirth  musik: kmet	volkstheater
2022-12-20	20:00 Studio Session #6	westbahnstudios
2022-12-21	19h30 der bloede dritte mittwoch #123	echoraum
2022-12-22	Open House | zu Weihnachten ganz alleine	cafe max
2023-01-09	monday improvisers session	celeste
2023-01-14	Walshe / Lehn: Hörraum & Companion Species	echoraum
2023-01-16	monday improvisers session	celeste
2023-01-17	19h55-24h kunstradio's art's birthday 1 00...	echoraeume
