Datum,Venue,Event_Name,Event_Typ,Bezirk,Kuenstler:innen,Veranstalter,Verein,Foerderung_ref,Quelle,Programm
2024-02-09,FLUCC,Struma+Iodine = 11 Years - Nkisi | Fitnesss | Huuum | Inou Ki Endo,Konzert,2,Nkisi | Fitnesss | Huuum | ssolve | MARAws | Inou Ki Endo | DJ Diamond,Struma+Iodine,RESONANCES+TRANSITIONS - VEREIN ZUR FÖRDERUNG UND VERBREITUNG INNOVATIVER KLÄNGE,MA7 | BMKöS | SKE,https://strumaiodine.com/,Struma+Iodine
2024-02-22,[nicht öffentlich],Struma+Iodine - Sonic Agency Listening Session I,Konzert | Listening Session,[nicht öffentlich],manuell rekonstruierbar,Struma+Iodine,RESONANCES+TRANSITIONS - VEREIN ZUR FÖRDERUNG UND VERBREITUNG INNOVATIVER KLÄNGE,MA7 | BMKöS | SKE,https://strumaiodine.com/,Struma+Iodine
2024-03-07,[nicht öffentlich],Struma+Iodine - Sonic Agency Listening Session II,Konzert | Listening Session,[nicht öffentlich],manuell rekonstruierbar,Struma+Iodine,RESONANCES+TRANSITIONS - VEREIN ZUR FÖRDERUNG UND VERBREITUNG INNOVATIVER KLÄNGE,MA7 | BMKöS | SKE,https://strumaiodine.com/,Struma+Iodine
2024-03-14,rhiz,Struma+Iodine - Sara Glaxia | DJ Warzone | Sami Mandee + Listening Session III,Konzert,8,Sara Glaxia | DJ Warzone | Sami Mandee,Struma+Iodine,RESONANCES+TRANSITIONS - VEREIN ZUR FÖRDERUNG UND VERBREITUNG INNOVATIVER KLÄNGE,MA7 | BMKöS | SKE,https://strumaiodine.com/,Struma+Iodine
2024-03-21,VE.SCH,Struma+Iodine - Sonic Agency Listening Session IV,Konzert | Listening Session,6,manuell rekonstruierbar,Struma+Iodine,RESONANCES+TRANSITIONS - VEREIN ZUR FÖRDERUNG UND VERBREITUNG INNOVATIVER KLÄNGE,MA7 | BMKöS | SKE,https://strumaiodine.com/,Struma+Iodine
2024-03-29,WAF Galerie,Struma+Iodine - Sonic Agency Listening Session V,Konzert | Listening Session,6,manuell rekonstruierbar,Struma+Iodine,RESONANCES+TRANSITIONS - VEREIN ZUR FÖRDERUNG UND VERBREITUNG INNOVATIVER KLÄNGE,MA7 | BMKöS | SKE,https://strumaiodine.com/,Struma+Iodine
2024-04-04,Kevin Space,Struma+Iodine - Sonic Agency Listening Session VI,Konzert | Listening Session,2,manuell rekonstruierbar,Struma+Iodine,RESONANCES+TRANSITIONS - VEREIN ZUR FÖRDERUNG UND VERBREITUNG INNOVATIVER KLÄNGE,MA7 | BMKöS | SKE,https://strumaiodine.com/,Struma+Iodine
2024-04-05,FLUCC,Struma+Iodine - TOUMBA | ASSYOUTI | GERTIE ADELAIDO,Konzert,2,TOUMBA | ASSYOUTI | GERTIE ADELAIDO | ENESI M. | মm. | TOUPAZ | YUZU,Struma+Iodine,RESONANCES+TRANSITIONS - VEREIN ZUR FÖRDERUNG UND VERBREITUNG INNOVATIVER KLÄNGE,MA7 | BMKöS | SKE,https://strumaiodine.com/,Struma+Iodine
2024-04-17,rhiz,Struma+Iodine - Liliane Chlela | Kasho Chualan | Andrea Lumplecker + Listening Session VII,Konzert,8,Liliane Chlela | Kasho Chualan | Andrea Lumplecker | Yasmina Haddad,Struma+Iodine,RESONANCES+TRANSITIONS - VEREIN ZUR FÖRDERUNG UND VERBREITUNG INNOVATIVER KLÄNGE,MA7 | BMKöS | SKE,https://strumaiodine.com/,Struma+Iodine
2024-04-25,Das LOT,Struma+Iodine - Sonic Agency Listening Session VIII,Konzert | Listening Session,11,manuell rekonstruierbar,Struma+Iodine,RESONANCES+TRANSITIONS - VEREIN ZUR FÖRDERUNG UND VERBREITUNG INNOVATIVER KLÄNGE,MA7 | BMKöS | SKE,https://strumaiodine.com/,Struma+Iodine
2024-05-09,FLUCC,Struma+Iodine - Sonic Agency Listening Session IX,Konzert | Listening Session,2,manuell rekonstruierbar,Struma+Iodine,RESONANCES+TRANSITIONS - VEREIN ZUR FÖRDERUNG UND VERBREITUNG INNOVATIVER KLÄNGE,MA7 | BMKöS | SKE,https://strumaiodine.com/,Struma+Iodine
2024-05-09,FLUCC,Struma+Iodine - Authentically Plastic | Bader | Zey | Afroninja,Konzert,2,Authentically Plastic | Bader | Zey | Afroninja,Struma+Iodine,RESONANCES+TRANSITIONS - VEREIN ZUR FÖRDERUNG UND VERBREITUNG INNOVATIVER KLÄNGE,MA7 | BMKöS | SKE,https://strumaiodine.com/,Struma+Iodine
2024-05-14,AIL Angewandte,Struma+Iodine - Qow | Asifeh | Inou Ki Endo + Listening Session X,Konzert,1,Qow | Asifeh | Inou Ki Endo,Struma+Iodine,RESONANCES+TRANSITIONS - VEREIN ZUR FÖRDERUNG UND VERBREITUNG INNOVATIVER KLÄNGE,MA7 | BMKöS | SKE,https://strumaiodine.com/,Struma+Iodine
2024-05-16,Depot – Kunst und Discussion,Struma+Iodine - Sonic Agency Listening Session XI,Konzert | Listening Session,7,manuell rekonstruierbar,Struma+Iodine,RESONANCES+TRANSITIONS - VEREIN ZUR FÖRDERUNG UND VERBREITUNG INNOVATIVER KLÄNGE,MA7 | BMKöS | SKE,https://strumaiodine.com/,Struma+Iodine
2024-05-23,FLUCC,Struma+Iodine - Sonic Agency Listening Session XII,Konzert | Listening Session,2,manuell rekonstruierbar,Struma+Iodine,RESONANCES+TRANSITIONS - VEREIN ZUR FÖRDERUNG UND VERBREITUNG INNOVATIVER KLÄNGE,MA7 | BMKöS | SKE,https://strumaiodine.com/,Struma+Iodine
2024-05-30,echoraum,Struma+Iodine - Sonic Agency Listening Session XIII,Konzert | Listening Session,15,manuell rekonstruierbar,Struma+Iodine,RESONANCES+TRANSITIONS - VEREIN ZUR FÖRDERUNG UND VERBREITUNG INNOVATIVER KLÄNGE,MA7 | BMKöS | SKE,https://strumaiodine.com/,Struma+Iodine
2024-06-06,CENTRAL GARDEN,Struma+Iodine - Sonic Agency Listening Session XIV,Konzert | Listening Session,2,manuell rekonstruierbar,Struma+Iodine,RESONANCES+TRANSITIONS - VEREIN ZUR FÖRDERUNG UND VERBREITUNG INNOVATIVER KLÄNGE,MA7 | BMKöS | SKE,https://strumaiodine.com/,Struma+Iodine
2024-06-14,Brunnenpassage,Struma+Iodine - Sonic Agency Listening Session XV,Konzert | Listening Session,16,manuell rekonstruierbar,Struma+Iodine,RESONANCES+TRANSITIONS - VEREIN ZUR FÖRDERUNG UND VERBREITUNG INNOVATIVER KLÄNGE,MA7 | BMKöS | SKE,https://strumaiodine.com/,Struma+Iodine
2024-06-21,FLUCC,Struma+Iodine - Nazar | 3phaz | Rent Release-Show | Rakita,Konzert,2,Nazar | 3phaz | Rent | Rakita | Patrik Lechner | Transki,Struma+Iodine,RESONANCES+TRANSITIONS - VEREIN ZUR FÖRDERUNG UND VERBREITUNG INNOVATIVER KLÄNGE,MA7 | BMKöS | SKE,https://strumaiodine.com/,Struma+Iodine
2024-06-28,Westbahnstudios,Struma+Iodine - Sonic Agency Listening Session XVI,Konzert | Listening Session,7,manuell rekonstruierbar,Struma+Iodine,RESONANCES+TRANSITIONS - VEREIN ZUR FÖRDERUNG UND VERBREITUNG INNOVATIVER KLÄNGE,MA7 | BMKöS | SKE,https://strumaiodine.com/,Struma+Iodine
2024-09-13,WUK,Struma+Iodine x Unsafe+Sounds - Iceboy Violet,Konzert,9,Iceboy Violet,Struma+Iodine,RESONANCES+TRANSITIONS - VEREIN ZUR FÖRDERUNG UND VERBREITUNG INNOVATIVER KLÄNGE,MA7 | BMKöS | SKE,https://strumaiodine.com/,Struma+Iodine | Unsafe+Sounds
2024-11-01,FLUCC,Struma+Iodine - Rabit | Nunguja | LUNG | Kein Ponny,Konzert,2,Rabit | Nunguja | LUNG | Kein Ponny | Yves | Call Me Daddy,Struma+Iodine,RESONANCES+TRANSITIONS - VEREIN ZUR FÖRDERUNG UND VERBREITUNG INNOVATIVER KLÄNGE,MA7 | BMKöS | SKE,https://strumaiodine.com/,Struma+Iodine
2024-11-17,rhiz,Struma+Iodine - Alex Zhang Hungtai | Claire Rousay | Natasha Moreno,Konzert,8,Alex Zhang Hungtai | Claire Rousay | Natasha Moreno | Misonica,Struma+Iodine,RESONANCES+TRANSITIONS - VEREIN ZUR FÖRDERUNG UND VERBREITUNG INNOVATIVER KLÄNGE,MA7 | BMKöS | SKE,https://strumaiodine.com/,Struma+Iodine
2024-12-13,rhiz,Struma+Iodine - Buttechno | Nino Stelzl | Lucia Kagramanyan,Konzert,8,Buttechno | Nino Stelzl | Lucia Kagramanyan | Maraws | Inou Ki Endo,Struma+Iodine,RESONANCES+TRANSITIONS - VEREIN ZUR FÖRDERUNG UND VERBREITUNG INNOVATIVER KLÄNGE,MA7 | BMKöS | SKE,https://strumaiodine.com/,Struma+Iodine
2025-02-27,rhiz,Struma+Iodine - DJ Spinn | Traxman | Sun People | zey,Konzert,8,DJ Spinn | Traxman | Sun People | zey | Jess_whereyouat,Struma+Iodine,RESONANCES+TRANSITIONS - VEREIN ZUR FÖRDERUNG UND VERBREITUNG INNOVATIVER KLÄNGE,MA7 | BMKöS | SKE,https://strumaiodine.com/,Struma+Iodine
2025-03-13,rhiz,Struma+Iodine x EXILES - Ábris Gryllus | Alley Catss | Zosia Hołubowska,Konzert,8,Ábris Gryllus | Alley Catss | Zosia Hołubowska | Inou Ki Endo,Struma+Iodine,RESONANCES+TRANSITIONS - VEREIN ZUR FÖRDERUNG UND VERBREITUNG INNOVATIVER KLÄNGE,MA7 | BMKöS | SKE,https://strumaiodine.com/,Struma+Iodine | EXILES
2025-04-18,FLUCC,Struma+Iodine - SLIKBACK | YAO BOBBY | SIMON GRAB | CHLOÉ RYO,Konzert,2,SLIKBACK | YAO BOBBY | SIMON GRAB | CHLOÉ RYO | ADINA CAMHY | MURSAL | LANDA | S.VERIN,Struma+Iodine,RESONANCES+TRANSITIONS - VEREIN ZUR FÖRDERUNG UND VERBREITUNG INNOVATIVER KLÄNGE,MA7 | BMKöS | SKE,https://strumaiodine.com/,Struma+Iodine
2025-05-08,rhiz,Struma+Iodine - mʊdʌki | STURMHERTA release-show | Lain Iwakura,Konzert,8,mʊdʌki | STURMHERTA | Daphne von Schrader | Lain Iwakura | Inou Ki Endo,Struma+Iodine,RESONANCES+TRANSITIONS - VEREIN ZUR FÖRDERUNG UND VERBREITUNG INNOVATIVER KLÄNGE,MA7 | BMKöS | SKE,https://strumaiodine.com/,Struma+Iodine
2025-05-31,FLUCC,Struma+Iodine - EM Guide Fest: Solidarize!,Festival,2,manuell rekonstruierbar,Struma+Iodine,RESONANCES+TRANSITIONS - VEREIN ZUR FÖRDERUNG UND VERBREITUNG INNOVATIVER KLÄNGE,MA7 | BMKöS | SKE,https://strumaiodine.com/,Struma+Iodine
2025-06-21,Westbahnstudios,Struma+Iodine - IMMINENT DEATH | LUKAS KÖNIG | DJ WARZONE,Konzert,7,IMMINENT DEATH | LUKAS KÖNIG | DJ WARZONE,Struma+Iodine,RESONANCES+TRANSITIONS - VEREIN ZUR FÖRDERUNG UND VERBREITUNG INNOVATIVER KLÄNGE,MA7 | BMKöS | SKE,https://strumaiodine.com/,Struma+Iodine
2025-10-17,FLUCC,Struma+Iodine - Hyperdub x Struma+Iodine - Kode9 | DJ Haram,Konzert,2,Kode9 | DJ Haram | ssolve | Lucia Kagramanyan | মm. | yarx | E the Artist,Struma+Iodine,RESONANCES+TRANSITIONS - VEREIN ZUR FÖRDERUNG UND VERBREITUNG INNOVATIVER KLÄNGE,MA7 | BMKöS | SKE,https://strumaiodine.com/,Struma+Iodine
2025-11-27,Westbahnstudios,Struma+Iodine - Chuck Roth | Tony Wagner | Morning Seance Release-Show,Konzert,7,Chuck Roth | Tony Wagner | Morning Seance,Struma+Iodine,RESONANCES+TRANSITIONS - VEREIN ZUR FÖRDERUNG UND VERBREITUNG INNOVATIVER KLÄNGE,MA7 | BMKöS | SKE,https://strumaiodine.com/,Struma+Iodine
2025-12-13,rhiz,Struma+Iodine - Able Noise | Kampan | Inou Ki Endo,Konzert,8,Able Noise | Kampan | Inou Ki Endo,Struma+Iodine,RESONANCES+TRANSITIONS - VEREIN ZUR FÖRDERUNG UND VERBREITUNG INNOVATIVER KLÄNGE,MA7 | BMKöS | SKE,https://strumaiodine.com/,Struma+Iodine
2025-12-18,FLUCC,Struma+Iodine - Gnoomes | Aki Traar Release-Show | Macrosoft,Konzert,2,Gnoomes | Aki Traar | Macrosoft,Struma+Iodine,RESONANCES+TRANSITIONS - VEREIN ZUR FÖRDERUNG UND VERBREITUNG INNOVATIVER KLÄNGE,MA7 | BMKöS | SKE,https://strumaiodine.com/,Struma+Iodine
2024-09-14,Westbahnstudios,Unsafe+Sounds 2024 - Of Many Worlds - Morning Seance,Festival,7,Simone Borghi,Unsafe+Sounds,"""Vienna.ACTS"", Verein zur Förderung von Kunst",MA7 | BMKöS,https://klingt.org/,Unsafe+Sounds
2024-09-14,Westbahnstudios,Unsafe+Sounds 2024 - Of Many Worlds - Yuko Araki,Festival,7,Yuko Araki,Unsafe+Sounds,"""Vienna.ACTS"", Verein zur Förderung von Kunst",MA7 | BMKöS,https://klingt.org/,Unsafe+Sounds
2024-09-14,Westbahnstudios,Unsafe+Sounds 2024 - Of Many Worlds - Evicshen x Mariam Rezaei,Festival,7,Evicshen | Mariam Rezaei,Unsafe+Sounds,"""Vienna.ACTS"", Verein zur Förderung von Kunst",MA7 | BMKöS | SKE,https://klingt.org/,Unsafe+Sounds
2023-06-10,Kunsttankstelle Ottakring,DE/SEMBLE - Come Play Me - Konzert,Festival,16,Duo Hofmaninger/Schwarz | Aylean | Klimentina Li,DE/SEMBLE,"""Vienna.ACTS"", Verein zur Förderung von Kunst",MA7 | BMKöS | SKE,https://www.de-semble.at/,DE/SEMBLE Festival
2023-06-10,Ponyhof,DE/SEMBLE - Come Play Me - Afterparty,Festival | Club,15,[manuell rekonstruierbar],DE/SEMBLE,"""Vienna.ACTS"", Verein zur Förderung von Kunst",MA7 | BMKöS | SKE,https://www.de-semble.at/,DE/SEMBLE Festival
2023-09-29,Theater Nestroyhof Hamakom,DE/SEMBLE - Play Date,Festival,2,Yvonne Moriel | Sweetlife Quartet | Klimentina Li | Damsel Elysium | Gischt,DE/SEMBLE,"""Vienna.ACTS"", Verein zur Förderung von Kunst",MA7 | BMKöS | SKE,https://www.de-semble.at/,DE/SEMBLE Festival
2023-10-27,REAKTOR,DE/SEMBLE - Playground 1.1,Festival,17,Alireza Toghiyan | Sofia Labropoulou | Anna Tsombanis | Adefris | Mona Matbou Riahi | Rdeča Raketa | Patrick K-H,DE/SEMBLE,"""Vienna.ACTS"", Verein zur Förderung von Kunst",MA7 | BMKöS | SKE,https://www.de-semble.at/,DE/SEMBLE Festival
2023-10-28,REAKTOR,DE/SEMBLE - Playground 1.2,Festival,17,Judith Ferstl | Avin Ahmadi | Morvarid Tahmasbi | Pamelia Stickney | Georg Vogel | FARCE | Beate Wiesinger | Viola Hammer,DE/SEMBLE,"""Vienna.ACTS"", Verein zur Förderung von Kunst",MA7 | BMKöS | SKE,https://www.de-semble.at/,DE/SEMBLE Festival
2023-12-01,REAKTOR,DE/SEMBLE - Players,Festival,17,Helēna Sorokina | Golnar Shahyar | Anja Obermayer | Ines Kolleritsch | Agnes Hvizdalek | Jakob Schneidewind,DE/SEMBLE,"""Vienna.ACTS"", Verein zur Förderung von Kunst",MA7 | BMKöS | SKE,https://www.de-semble.at/,DE/SEMBLE Festival
2024-03-14,The Loft,DE/SEMBLE - Playroom,Festival,16,Victoria Kirilova | Viola Falb | Pink Oculus | Shahin Entezami | Behrang Najafi,DE/SEMBLE,"""Vienna.ACTS"", Verein zur Förderung von Kunst",MA7 | BMKöS | SKE,https://www.de-semble.at/,DE/SEMBLE Festival
2024-04-20,Sargfabrik,DE/SEMBLE - Le Cri du Caire,Festival,14,Abdullah Miniawy | Peter Corser | Karsten Hochapfel,DE/SEMBLE,"""Vienna.ACTS"", Verein zur Förderung von Kunst",MA7 | BMKöS | SKE,https://www.de-semble.at/,DE/SEMBLE Festival
2024-11-14,REAKTOR,DE/SEMBLE Intl. Festival 2024 - Tag 1,Festival,17,Eyup Kuş | So Sner | Farida Amadou | Aquiles Navarro | Teresa Rotschopf Ensemble,DE/SEMBLE,"""Vienna.ACTS"", Verein zur Förderung von Kunst",MA7 | BMKöS | SKE,https://www.de-semble.at/,DE/SEMBLE Festival
2024-11-15,REAKTOR,DE/SEMBLE Intl. Festival 2024 - Tag 2,Festival,17,Eyup Kuş | Mamadou Diabaté | Nabou Clearhout | Lynn Cassiers | Dumama,DE/SEMBLE,"""Vienna.ACTS"", Verein zur Förderung von Kunst",MA7 | BMKöS | SKE,https://www.de-semble.at/,DE/SEMBLE Festival
2024-11-16,REAKTOR,DE/SEMBLE Intl. Festival 2024 - Tag 3,Festival,17,Eyup Kuş | GLAM | Azu Tiwaline | Cinna Peyghamy | Stemeseder | Lillinger,DE/SEMBLE,"""Vienna.ACTS"", Verein zur Förderung von Kunst",MA7 | BMKöS | SKE,https://www.de-semble.at/,DE/SEMBLE Festival
2024-11-16,Tagada Club,DE/SEMBLE Intl. Festival 2024 - Afterparty,Festival | Club,16,Didi Kern | Philipp Quehenberger,DE/SEMBLE,"""Vienna.ACTS"", Verein zur Förderung von Kunst",MA7 | BMKöS | SKE,https://www.de-semble.at/,DE/SEMBLE Festival
2025-06-20,Jazzclub ZWE,DE/SEMBLE - Yonglee & the DOLTANG,Konzert,2,Yonglee,DE/SEMBLE,"""Vienna.ACTS"", Verein zur Förderung von Kunst",MA7 | BMKöS | SKE,https://www.de-semble.at/,DE/SEMBLE Festival
2025-10-09,FLUCC,DE/SEMBLE Festival 2025 - Tag 1,Festival,2,Yvonne Moriel | Y-Otis | Dorian Concept | Lukas König,DE/SEMBLE,"""Vienna.ACTS"", Verein zur Förderung von Kunst",MA7 | BMKöS | SKE,https://www.de-semble.at/,DE/SEMBLE Festival
2025-10-11,Bears in the Park,DE/SEMBLE Festival 2025 - Tag 3,Festival,11,Helene Glüxam | Daphna Horenczyk | Los Sara Fontan | Giggidalessio,DE/SEMBLE,"""Vienna.ACTS"", Verein zur Förderung von Kunst",MA7 | BMKöS,https://www.de-semble.at/,DE/SEMBLE Festival
2025-10-12,REAKTOR,DE/SEMBLE Festival 2025 - Tag 4,Festival,17,Park Jiha,DE/SEMBLE,"""Vienna.ACTS"", Verein zur Förderung von Kunst",MA7 | BMKöS,https://www.de-semble.at/,DE/SEMBLE Festival
2024-04-24,FLUCC,Augend&Addend - Still House Plants | Donna Candy | Hypermobile,Konzert,2,Still House Plants | Donna Candy | Hypermobile | Al,Augend&Addend,AUGEND&ADDEND - Verein zur Förderung und Erweiterung transformativer Klangräume und queerer Clubkultur,MA7 | BMKöS,https//augendaddend.bandcamp.com/,Augend&Addend
2025-10-15,Westbahnstudios,Augend&Addend - Ryong | Lintd | Yasmina Haddad,Konzert,7,Ryong | Lintd | Yasmina Haddad,Augend&Addend,AUGEND&ADDEND - Verein zur Förderung und Erweiterung transformativer Klangräume und queerer Clubkultur,MA7 | BMKöS,https//kupfticket.com/en/events/augendaddend-oct25,Augend&Addend
2022-04-06,rhiz,Sonic Territories Extended 2022,Festival,8,Jakob Schauer | Rozi Mako | Chra | Selena Pommes | Subletvis | Tony Renaissance | Warrego Valles | Yuzu,id/l Agentur für Kunst und Kultur,id/l Agentur für Kunst und Kultur,MA7 | BMKöS,https://rhiz.wien/programm/event/sonic-territories-extended-2/,Sonic Territories Festival
2022-06-30,FABRIK Seestadt,Sonic Territories Festival 2022 – Soundness,Festival,22,Electric Indigo | Kate Carr | Yuzu | Aho Ssan | Julia Just | Jakob Hütter | Jakob Schauer | Monocolor | Hüma Utku | Kenji Araki | Outer Allmende | Black Burst Sound Generator | Patrik Lechner,id/l Agentur für Kunst und Kultur,id/l Agentur für Kunst und Kultur,MA7 | BMKöS,https://www.musicaustria.at/sonic-territories-2022/,Sonic Territories Festival
2023-04-21,rhiz,Sonic Territories Extended 2023,Festival,8,Subletvis | Klimentina Li | Global Fyre | Innominepatrix | Hyperbauch | Nuphory,id/l Agentur für Kunst und Kultur,id/l Agentur für Kunst und Kultur,MA7 | BMKöS,https://www.sonic-territories.at/archive/,Sonic Territories Festival
2023-08-18,Die Kleine Stadtfarm,Sonic Territories – Listening with Care 2023,Workshop | Konzert,22,Tomoko Sauvage | Julia Grillmayr | Christina Gruber | Sophia Rut | Mary Maggic | Karine Blanche | Paul Ebhart | Benjamin Tomasi | Daphne X,id/l Agentur für Kunst und Kultur,id/l Agentur für Kunst und Kultur,MA7 | BMKöS,https://esel.at/termin/120025/,Sonic Territories Festival
2023-11-10,VHS Kulturgarage Seestadt,Sonic Territories Festival 2023 – From Liminal Attraction to Intra-action,Festival,22,Asuna | Magdalena Forster | Milena Georgieva | Vica Pacheco | Stefan Maier | Thea Soti | Andras_2020 | Antonia XM | Klimentina Li | Emme | Laikka | Evita Manji | Martyyna | Tot Onyx | Sturmherta,id/l Agentur für Kunst und Kultur,id/l Agentur für Kunst und Kultur,MA7 | Bezirkskultur Donaustadt | Wiener Volkshochschulen,https://esel.at/termin/121544,Sonic Territories Festival
2024-11-12,VHS Kulturgarage Seestadt,Sonic Territories Festival 2024 – Breaking Free,Festival,22,Agnès M. | Monocolor | Andreas Lutz | Angry Blackmen | Antonina Nowacka | Asuna | Das Freie Energie Band | Hypercycle | MARAws | Yynona | James Welburn | SØS Gunver Ryberg | Sybil Montet | Zoë Mc Pherson | Alessandra Leone | TnC | Zbigniew Chojnacki | Claire Tolan | Lens Kühleitner | Olivia Hild | Rojin Sharafi | David Pridal,id/l Agentur für Kunst und Kultur,id/l Agentur für Kunst und Kultur,MA7 | BMKöS,https://www.sonic-territories.at/festival2024,Sonic Territories Festival
2024-11-12,AIL Angewandte,Sonic Territories Festival 2024 – Breaking Free,Festival,1,Agnès M. | Monocolor | Andreas Lutz | Angry Blackmen | Antonina Nowacka | Asuna | Das Freie Energie Band | Hypercycle | MARAws | Yynona | James Welburn | SØS Gunver Ryberg | Sybil Montet | Zoë Mc Pherson | Alessandra Leone | TnC | Zbigniew Chojnacki | Claire Tolan | Lens Kühleitner | Olivia Hild | Rojin Sharafi | David Pridal,id/l Agentur für Kunst und Kultur,id/l Agentur für Kunst und Kultur,MA7 | BMKöS,https://www.sonic-territories.at/festival2024,Sonic Territories Festival
2024-11-13,rhiz,Sonic Territories Festival 2024 – Breaking Free,Festival,8,Agnès M. | Monocolor | Andreas Lutz | Angry Blackmen | Antonina Nowacka | Asuna | Das Freie Energie Band | Hypercycle | MARAws | Yynona | James Welburn | SØS Gunver Ryberg | Sybil Montet | Zoë Mc Pherson | Alessandra Leone | TnC | Zbigniew Chojnacki | Claire Tolan | Lens Kühleitner | Olivia Hild | Rojin Sharafi | David Pridal,id/l Agentur für Kunst und Kultur,id/l Agentur für Kunst und Kultur,MA7 | BMKöS,https://www.sonic-territories.at/festival2024,Sonic Territories Festival
2024-11-13,Minus Offspace,Sonic Territories Festival 2024 – Breaking Free,Festival,18,Agnès M. | Monocolor | Andreas Lutz | Angry Blackmen | Antonina Nowacka | Asuna | Das Freie Energie Band | Hypercycle | MARAws | Yynona | James Welburn | SØS Gunver Ryberg | Sybil Montet | Zoë Mc Pherson | Alessandra Leone | TnC | Zbigniew Chojnacki | Claire Tolan | Lens Kühleitner | Olivia Hild | Rojin Sharafi | David Pridal,id/l Agentur für Kunst und Kultur,id/l Agentur für Kunst und Kultur,MA7 | BMKöS,https://www.sonic-territories.at/festival2024,Sonic Territories Festival
2024-11-14,Polnisches Institut,Sonic Territories Festival 2024 – Breaking Free,Festival,1,Agnès M. | Monocolor | Andreas Lutz | Angry Blackmen | Antonina Nowacka | Asuna | Das Freie Energie Band | Hypercycle | MARAws | Yynona | James Welburn | SØS Gunver Ryberg | Sybil Montet | Zoë Mc Pherson | Alessandra Leone | TnC | Zbigniew Chojnacki | Claire Tolan | Lens Kühleitner | Olivia Hild | Rojin Sharafi | David Pridal,id/l Agentur für Kunst und Kultur,id/l Agentur für Kunst und Kultur,MA7 | BMKöS,https://www.sonic-territories.at/festival2024,Sonic Territories Festival
2024-11-15,Seestadt Studios,Sonic Territories Festival 2024 – Breaking Free,Festival,22,Agnès M. | Monocolor | Andreas Lutz | Angry Blackmen | Antonina Nowacka | Asuna | Das Freie Energie Band | Hypercycle | MARAws | Yynona | James Welburn | SØS Gunver Ryberg | Sybil Montet | Zoë Mc Pherson | Alessandra Leone | TnC | Zbigniew Chojnacki | Claire Tolan | Lens Kühleitner | Olivia Hild | Rojin Sharafi | David Pridal,id/l Agentur für Kunst und Kultur,id/l Agentur für Kunst und Kultur,MA7 | BMKöS,https://www.sonic-territories.at/festival2024,Sonic Territories Festival
2024-11-16,Semmelweisklinik,Sonic Territories Festival 2024 – Breaking Free,Festival,18,Agnès M. | Monocolor | Andreas Lutz | Angry Blackmen | Antonina Nowacka | Asuna | Das Freie Energie Band | Hypercycle | MARAws | Yynona | James Welburn | SØS Gunver Ryberg | Sybil Montet | Zoë Mc Pherson | Alessandra Leone | TnC | Zbigniew Chojnacki | Claire Tolan | Lens Kühleitner | Olivia Hild | Rojin Sharafi | David Pridal,id/l Agentur für Kunst und Kultur,id/l Agentur für Kunst und Kultur,MA7 | BMKöS,https://www.sonic-territories.at/festival2024,Sonic Territories Festival
2024-11-16,Studio Praxistest,Sonic Territories Festival 2024 – Breaking Free,Festival,3,Agnès M. | Monocolor | Andreas Lutz | Angry Blackmen | Antonina Nowacka | Asuna | Das Freie Energie Band | Hypercycle | MARAws | Yynona | James Welburn | SØS Gunver Ryberg | Sybil Montet | Zoë Mc Pherson | Alessandra Leone | TnC | Zbigniew Chojnacki | Claire Tolan | Lens Kühleitner | Olivia Hild | Rojin Sharafi | David Pridal,id/l Agentur für Kunst und Kultur,id/l Agentur für Kunst und Kultur,MA7 | BMKöS,https://www.sonic-territories.at/festival2024,Sonic Territories Festival
2022-07-29,Vronihof,Circuit Fantôme – Temporada 1 (10 episodios),Konzertreihe,17,Daniel Teruggi | Luis Naón | Mario Mary | Philippe Mion | Pierre Henry | Sergey Khismatov | François Bayle | Christine Groult | Patrick K.-H. | Beatriz Ferreyra | Ksenia Bakhtina | Vera Bezrukova,Floating Sound Gallery Vienna,"Floating Sound Gallery Vienna, Verein zur Förderung von Kunst und Kultur",MA7,https://floatingsound.at/Circuit-Fantome,Circuit Fantôme
2023-06-02,Vronihof,Circuit Fantôme – Temporada 2 (episodios documentados),Konzertreihe,17,Anastasia Koroleva | Zeynep Sarıkartal | Todor Todoroff,Floating Sound Gallery Vienna,"Floating Sound Gallery Vienna, Verein zur Förderung von Kunst und Kultur",MA7,https://floatingsound.at/Circuit-Fantome-Koroleva_Sarikartal,Circuit Fantôme
2023-07-29,Vronihof,Circuit Fantôme – Temporada 3 Spatial Special,Konzert,17,François Bayle | Christine Groult | Daniel Teruggi | Patrick K.-H. | Zeynep Sarıkartal | Anne Germanique,Floating Sound Gallery Vienna,"Floating Sound Gallery Vienna, Verein zur Förderung von Kunst und Kultur",MA7,https://floatingsound.at/Circuit-Fantome-Spacial-Special,Circuit Fantôme
2024-02-23,Vronihof,Circuit Fantôme – Temporada 4 (episodios documentados),Konzertreihe,17,Patrick K.-H. | Daniel Teruggi | Christian Eloy | Watanabe Rui | Li Vivian | Sismann Valentin | Tu Yen-Hao,Floating Sound Gallery Vienna,"Floating Sound Gallery Vienna, Verein zur Förderung von Kunst und Kultur",MA7,https://floatingsound.at/Circuit-Fantome-Prelude-II,Circuit Fantôme
