Datum,Venue,Event_Name,Event_Typ,Bezirk,Kuenstler:innen,Veranstalter,Verein,Foerderung_ref,Quelle,Programm
2022-03-10,Alte Schmiede,Auf der Welle von Frau Stohr,Performance,1,Lisa Spalt | Sabine Marte | Oliver Stotz,Alte Schmiede,KUNSTVEREIN WIEN,MA7,https://klingt.org/gro.tgnilk/events/12759/index.html?sid=14298401013344652,
2022-03-14,Celeste,Monday Improvisers Session,Konzertreihe,6,Didi Kern | Laura Pudelek,Celeste,Verein für experimentelle improvisierte Musik (VEIM),MA7 | BMKöS | SKE,https://klingt.org/gro.tgnilk/events/12763/index.html?sid=14298401013344652,Monday Improvisers Session
2022-03-16,Replugged,10 Jahre Bloeder 3. Mittwoch,Konzertreihe,7,Tim Shaw | dieb13 | Katharina Ernst | Doris Uhlich | Bernhard Breuer | Ralf Tronstoner | Christoph Kurzmann,Replugged,Verein für Kunstvermischung,MA7 | BMKöS | SKE,https://klingt.org/gro.tgnilk/events/12762/index.html?sid=14298401013344652,
2022-03-18,Setzkasten Wien,Kastenkonzert #37,Konzertreihe,17,Ferro Taylor | Julie C. Stamm | Fließgewässer | Lukas Kannemann,Setzkasten Wien,"Setzkasten, Verein und Werkstatt zur Förderung intermedialer Kunst",MA7 | BMKöS | SKE,https://klingt.org/gro.tgnilk/events/12791/index.html?sid=14298401013344652,Kastenkonzert
2022-03-21,Celeste,Monday Improvisers Session,Konzertreihe,6,Thomas Berghammer | Phillip Quehenberger | Nik Hummer,Celeste,Verein für experimentelle improvisierte Musik (VEIM),MA7,https://klingt.org/gro.tgnilk/events/12764/index.html?sid=14298401013344652,Monday Improvisers Session
2022-03-24,Replugged,Quehenberger-Kern - Uz Jsme Doma - Fil OK,Konzert,7,Quehenberger | Didi Kern | Uz Jsme Doma,liccht,liccht - kulturverein für nischenmusik und populärkultur,MA7 | SKE,https://klingt.org/gro.tgnilk/events/12828/index.html?sid=14298401013344652,Quehenberger-Kern
2022-03-25,Porgy & Bess Jazz& Music Club,Charhizma presents - KONK PACK,Konzert,1,Tim Hodgkinson | Roger Turner | Thomas Lehn,Porgy & Bess,Jazz & Musicclub Porgy & Bess,MA7,https://klingt.org/gro.tgnilk/events/12788/index.html?sid=14298401013344652,Charhizma presents
2022-03-25,echoraum,Schmoliner-Breuer - Harnik-Kern,Konzert,15,Ingrid Schmoliner | Bernhard Breuer | Elisabeth Harnik | Didi Kern,echoraum,liccht - kulturverein für nischenmusik und populärkultur,MA7,https://klingt.org/gro.tgnilk/events/12830/index.html?sid=14298401013344652,Schmoliner-Breuer
2022-03-27,Kulturcafé Max,KNH-Sonntagskind23 - Alex Miksch + Band,Konzert,2,Alex Miksch | Anna Anderluh | Philipp Moosbrugger | Andreas Hellweger,Kulturnetz Hernals,echoraum Vereinigung zur Förderung der Kulturkommunikation,MA7 | BMKöS | SKE,https://klingt.org/gro.tgnilk/events/12802/index.html?sid=14298401013344652,KNH-Sonntagskind23
2022-03-27,Anitta-Müller-Cohen-Platz,TONSPUR festival - Streamers — Festival - Martin Siewert - Maja Osojnik,Festival,2,Martin Siewert | Maja Osojnik,TONSPUR,TONSPUR Kunstverein Wien,MA7 | BMKöS,https://klingt.org/gro.tgnilk/events/12843/index.html?sid=14298401013344652,TONSPUR festival
2022-03-28,rhiz,Klara Lewis - Fru Fru - Subletvis,Konzert,8,Klara Lewis | Maja Osojnik | Angelica Castello,rhiz,KÖR Wien / Kunst im öffentlichen Raum Wien,MA7 | BMKöS | KÖR,https://klingt.org/gro.tgnilk/events/12677/index.html?sid=14298401013344652,Klara Lewis
2022-03-28,Celeste,Monday Improvisers Session,Konzertreihe,6,Susanna Gartmayer | Jake Mann | Martin Burk | Markus Schneider,Celeste,Verein für experimentelle improvisierte Musik (VEIM),MA7,https://klingt.org/gro.tgnilk/events/12765/index.html?sid=14298401013344652,Monday Improvisers Session
2022-03-31,Westbahnstudios,Studio Session #2 - Studio Dan plays Pauline Oliveros,Konzert,7,Studio Dan,Westbahnstudios,Studio Dan - Verein für Neue Musik,MA7 | BMKöS | SKE,https://klingt.org/gro.tgnilk/events/12787/index.html?sid=14298401013344652,Studio Session #2
2022-04-01,echoraum,FÄNGE - simulacrumbs modulated,Konzert,15,Daniel Lercher | David Schweighart | Vinzenz Schwab | Klemens Kohlweis | Andreas Zißler,echoraum,echoraum Vereinigung zur Förderung der Kulturkommunikation,MA7 | BMKöS,https://klingt.org/gro.tgnilk/events/12844/index.html?sid=14298401013344652,FÄNGE
2022-04-04,Celeste,Monday Improvisers Session,Konzertreihe,6,Susanna Gartmayer | Violeta Garcia | Javier Areal Vélez,Celeste,Verein für experimentelle improvisierte Musik (VEIM),MA7 | BMKöS | SKE,https://klingt.org/gro.tgnilk/events/12795/index.html?sid=14298401013344652,Monday Improvisers Session
2022-04-06,Porgy & Bess Jazz& Music Club,Kern - Holub - Fischerlehner - 3 Drum Solos,Konzert,1,Didi Kern | Mark Holub | Rudi Fischerlehner,Porgy & Bess,echoraum Vereinigung zur Förderung der Kulturkommunikation,MA7 | BMKöS | SKE,https://klingt.org/gro.tgnilk/events/12766/index.html?sid=14298401013344652,Kern
2022-04-07,Celeste,FMF presents - Thieke & Göregen,Konzertreihe,6,Michael Thieke | Hogir Göregen | Christoph Kurzmann,Free Music Forum,Kulturverein Free Music Forum mit dem Zusatz Forum für free Jazz & freie Improvisation,MA7 | BMKöS | SKE,https://klingt.org/gro.tgnilk/events/12848/index.html?sid=14298401013344652,FMF presents
2022-04-08,Rote Bar im Volkstheater,DISHES,Club,7,Alpha Maid | Pope Sangreta | 3C 273 | Susanna Gartmayer | Toxe | Kim Leclerc | Olmatri,DISHES,Jazz & Musicclub Porgy & Bess,MA7,https://klingt.org/gro.tgnilk/events/12801/index.html?sid=14298401013344652,
2022-04-10,Anitta-Müller-Cohen-Platz,TONSPUR festival - Streamers —Bertoncini-Lehn & Wolfgang Mitterer,Festival,2,Tiziana Bertoncini | Thomas Lehn | Wolfgang Mitterer,TONSPUR,TONSPUR Kunstverein Wien,MA7 | BMKöS,https://klingt.org/gro.tgnilk/events/12879/index.html?sid=14298401013344652,TONSPUR festival
2022-04-11,Celeste,Monday Improvisers Session,Konzertreihe,6,Thomas Berghammer | Thomas Lehn | Tiziana Bertoncini,Celeste,Verein für experimentelle improvisierte Musik (VEIM),MA7,https://klingt.org/gro.tgnilk/events/12796/index.html?sid=14298401013344652,Monday Improvisers Session
2022-04-13,Akademie der Bildenden Künste Wien,Cauliflower Sound Festival - Tag 1,Festival,6,Angela Lau | Kisling | Mad Lane | Nana Dahlin,Cauliflower Power Sound Festival,The Acousmatic Project - Verein zur Förderung Akusmatischer Musik,BMKöS,https://klingt.org/gro.tgnilk/events/12875/index.html?sid=14298401013344652,Cauliflower Sound Festival
2022-04-14,Akademie der Bildenden Künste Wien,Cauliflower Sound Festival - Tag 2,Festival,6,Vinzenz Schwab | Frederic Stritter | Nina Bauer | Thomas Gorbach | Gischt,Cauliflower Power Sound Festival,The Acousmatic Project - Verein zur Förderung Akusmatischer Musik,BMKöS,https://klingt.org/gro.tgnilk/events/12874/index.html?sid=14298401013344652,Cauliflower Sound Festival
