Verein	ZVR-Zahl	Bezirk	Foerderung_ref	Typ	Jahr	Betrag_EUR	Quelle	Fördergegenstand — Anmerkungen	Programm	Kurzname	Verein_key
JazzWerkstatt Wien	59191016	20	MA7	Beschluss	2024	35000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2024	ausbezahlt: Einzelnförderungen (Projekte) Musik	20 Jahre JazzWerkstatt Wien 30.000 + Erhöhung 5.000	JazzWerkstatt Wien	jazzwerkstatt wien
RRRIOT - Verein zur Förderung und Vermittlung feministischen Kulturschaffens	1768215396	10	MA7	Beschluss	2024	15000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2024	ausbezahlt: Einzelnförderungen (Projekte) Musik	Dishes		rrriot - verein zur förderung und vermittlung feministischen kulturschaffens
SISTERS - Verein für queer feministische Kunst und Kultur	914774238	15	MA7	Beschluss	2024	100000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2024	ausbezahlt: Festivals Musik	Projekt: HYPERREALITY - Festival für Club Culture - Vienna 2024		sisters - verein für queer feministische kunst und kultur
SISTERS - Verein für queer feministische Kunst und Kultur	914774238	15	MA7	Beschluss	2023	85000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2023	ausbezahlt: Festivals Musik	Projekt: HYPERREALITY - Festival für Club Culture - Vienna 2023		sisters - verein für queer feministische kunst und kultur
SISTERS - Verein für queer feministische Kunst und Kultur	914774238	15	MA7	Beschluss	2022	75000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2022	ausbezahlt: Festivals Musik	Projekt: HYPERREALITY - Festival für Club Culture - Vienna		sisters - verein für queer feministische kunst und kultur
SISTERS - Verein für queer feministische Kunst und Kultur	914774238	15	MA7	Beschluss	2024	35000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2024	ausbezahlt: Freier Gruppierungen und Häuser Off-Bereich Darstellende Kunst	S_P_I_T_ Queer Performance Festival Vienna 2024		sisters - verein für queer feministische kunst und kultur
SISTERS - Verein für queer feministische Kunst und Kultur	914774238	15	MA7	Beschluss	2023	35000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2023	ausbezahlt: Freier Gruppierungen und Häuser Off-Bereich Darstellende Kunst	S_P_I_T_ Queer Performance Festival Vienna 2023		sisters - verein für queer feministische kunst und kultur
SISTERS - Verein für queer feministische Kunst und Kultur	914774238	15	MA7	Beschluss	2022	40000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2022	ausbezahlt: Freier Gruppierungen und Häuser Off-Bereich Darstellende Kunst	S_P_I_T_ Queer Performance Festival Vienna		sisters - verein für queer feministische kunst und kultur
Sandkasten Syndikat - Verein zur transkulturellen und interdisziplinären\nkünstlerischen Vernetzung und Kulturvermittlung	1740449626	17	MA7	Beschluss	2022	2500.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2022	ausbezahlt: Einzelnförderungen (Projekte) Musik	Klub Montage	Sandkasten Syndikat	sandkasten syndikat - verein zur transkulturellen und interdisziplinären\nkünstlerischen vernetzung und kulturvermittlung
Sandkasten Syndikat - Verein zur transkulturellen und interdisziplinären\nkünstlerischen Vernetzung und Kulturvermittlung	1740449627	17	MA7	Beschluss	2023	5000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2023	ausbezahlt: Einzelnförderungen (Projekte) Kulturinitiativen	Klub.Montage – Öffentliche Impro-Konzerte und transdisziplinäre Jam-Sessions	Sandkasten Syndikat	sandkasten syndikat - verein zur transkulturellen und interdisziplinären\nkünstlerischen vernetzung und kulturvermittlung
Sandkasten Syndikat - Verein zur transkulturellen und interdisziplinären\nkünstlerischen Vernetzung und Kulturvermittlung	1740449628	17	MA7	Beschluss	2024	8000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2024	ausbezahlt: Einzelnförderungen (Projekte) Kulturinitiativen	Sandkasten Syndikat	Sandkasten Syndikat	sandkasten syndikat - verein zur transkulturellen und interdisziplinären\nkünstlerischen vernetzung und kulturvermittlung
Sandkasten Syndikat - Verein zur transkulturellen und interdisziplinären\nkünstlerischen Vernetzung und Kulturvermittlung	1740449628	17	MA7	Beschluss	2025	5000.0	Transparenzportal IFG 2025	ausbezahlt: Förderung von Einzelnvorhaben im Bereich der Musik  		Sandkasten Syndikat	sandkasten syndikat - verein zur transkulturellen und interdisziplinären\nkünstlerischen vernetzung und kulturvermittlung
Sandkasten Syndikat - Verein zur transkulturellen und interdisziplinären\nkünstlerischen Vernetzung und Kulturvermittlung	1740449628	17	MA7	Beschluss	2025	8000.0	Transparenzportal IFG 2025	ausbezahlt: Förderung von Einzelnvorhaben im Bereich der Kulturinitiativen  		Sandkasten Syndikat	sandkasten syndikat - verein zur transkulturellen und interdisziplinären\nkünstlerischen vernetzung und kulturvermittlung
