Verein	ZVR-Zahl	Bezirk	Foerderung_ref	Typ	Jahr	Betrag_EUR	Quelle	Anmerkungen	Programm	Kurzname	Verein_key
XOK - Interessensgemeinschaft der experimentellen Musik- und Klangkunstszene\nWiens	1792507501	19	MA7	Beschluss	2024	16000.0	Förderbericht der Stadt Wien 2024 – Einzel- und Gesamtförderung im Bereich Musik	ausbezahlt: Projekt: Jahresendzeitschokoladenhohlkörper	Jahresendzeitschokoladenhohlkörper	XOK	xok - interessensgemeinschaft der experimentellen musik- und klangkunstszene\nwiens
"


""Ventil"" - Verein zur Freisetzung klanglicher Innovation und Dynamik Kurztitel:\nVenti"	462456728	18	MA7	Beschluss	2024	8000.0	Förderbericht der Stadt Wien 2024 – Einzel- und Gesamtförderung im Bereich Musik	ausbezahlt: Projekt: EARDRUMS	EARDRUMS	Ventil Records	"


""Ventil"" - Verein zur Freisetzung klanglicher Innovation und Dynamik Kurztitel:\nVenti"
snim - spontanes Netzwerk für improvisierte Musik	461480763	15	MA7	Beschluss	2024	4000.0	Förderbericht der Stadt Wien 2024 – Einzel- und Gesamtförderung im Bereich Musik	ausbezahlt: Projekt: Projektreihe 2024			snim - spontanes netzwerk für improvisierte musik
AUGEND&ADDEND - Verein zur Förderung und Erweiterung transformativer\nKlangräume und queerer Clubkultur	1799027468	18	MA7	Beschluss	2024	5000.0	Förderbericht der Stadt Wien 2024 – Einzel- und Gesamtförderung im Bereich Musik	ausbezahlt: Projekt: Equation Echo & the Transformative	Equation Echo & the Transformative	Augend&Addend	augend&addend - verein zur förderung und erweiterung transformativer\nklangräume und queerer clubkultur
liccht - kulturverein für nischenmusik und populärkultur	1472352125	3	MA7	Beschluss	2024	20000.0	Förderbericht der Stadt Wien 2024 – Einzel- und Gesamtförderung im Bereich Musik	ausbezahlt: Projekt: Veranstaltungsreihe liccht		liccht	liccht - kulturverein für nischenmusik und populärkultur
SUENA - Verein zur Förderung und Verbreitung neuer Musik	1920809871	6	MA7	Beschluss	2024	10000.0	Förderbericht der Stadt Wien 2024 – Einzel- und Gesamtförderung im Bereich Musik	ausbezahlt: Projekt: Suena Festival 2024 - Metamodelle	SUENA Festival	SUENA	suena - verein zur förderung und verbreitung neuer musik
Klangmanifeste - Verein für Klang-/Kunst-/Formen	771245267	5	MA7	Beschluss	2024	5000.0	Förderbericht der Stadt Wien 2024 – Einzel- und Gesamtförderung im Bereich Musik	ausbezahlt: Projekt: Klangmanifeste	Klangmanifeste		klangmanifeste - verein für klang-/kunst-/formen
Verein für elektroakustische Musik	229137709	5	MA7	Beschluss	2024	6500.0	Förderbericht der Stadt Wien 2024 – Einzel- und Gesamtförderung im Bereich Musik	ausbezahlt: Projekt: velak gala/export	VELAK Gala		verein für elektroakustische musik
TONSPUR Kunstverein Wien	824358800	7	MA7	Beschluss	2024	13000.0	Förderbericht der Stadt Wien 2024 – Einzel- und Gesamtförderung im Bereich Musik	ausbezahlt: Projekt: Tätigkeiten im Jahr 2024		TONSPUR	tonspur kunstverein wien
Verein für experimentelle improvisierte Musik (VEIM)	[nicht dokumentiert]	4	MA7	Beschluss	2024	13000.0	Förderbericht der Stadt Wien 2024 – Einzel- und Gesamtförderung im Bereich Musik	ausbezahlt: Projekt: Monday Improvisers Session 2024	Monday Improvisers Session	Porgy & Bess	verein für experimentelle improvisierte musik (veim)
small forms - Verein zur Förderung und Verbreitung von zeitgenössischen Musikformen	503262449	16	MA7	Beschluss	2024	15000.0	Förderbericht der Stadt Wien 2024 – Einzel- und Gesamtförderung im Bereich Musik	ausbezahlt: Gesamtförderung		Smallforms	small forms - verein zur förderung und verbreitung von zeitgenössischen musikformen
Kulturverein Free Music Forum mit dem Zusatz Forum für free Jazz & freie Improvisation	1121875739	5	MA7	Beschluss	2024	18000.0	Förderbericht der Stadt Wien 2024 – Einzel- und Gesamtförderung im Bereich Musik	ausbezahlt: Gesamtförderung		Free Music Forum	kulturverein free music forum mit dem zusatz forum für free jazz & freie improvisation
Floating Sound Gallery Vienna, Verein zur Förderung von Kunst und Kultur	1534373870	10	MA7	Beschluss	2024	9000.0	Förderbericht der Stadt Wien 2024 – Einzel- und Gesamtförderung im Bereich Musik	ausbezahlt: Projekt: Vereinsaktivitäten		Floating Sound Gallery Vienna	floating sound gallery vienna, verein zur förderung von kunst und kultur
The Acousmatic Project - Verein zur Förderung Akusmatischer Musik	874404447	2	MA7	Beschluss	2024	22000.0	Förderbericht der Stadt Wien 2024	ausbezahlt: Gesamtförderung 2024			the acousmatic project - verein zur förderung akusmatischer musik
STRUMA+IODINE - Verein zur Erweiterung musikalischer Erfahrungsräume	1954454117	9	MA7	Beschluss	2024	30000.0	Förderbericht der Stadt Wien 2024 – Einzel- und Gesamtförderung im Bereich Musik	ausbezahlt: Projekt: Struma+Iodine	Struma+Iodine	Struma+Iodine	struma+iodine - verein zur erweiterung musikalischer erfahrungsräume
UNSAFE SOUNDS - Verein zur Verteidigung künstlerischer Grauzonen	1670187874	18	MA7	Beschluss	2024	60000.0	Förderbericht der Stadt Wien 2024 – Einzel- und Gesamtförderung im Bereich Musik	ausbezahlt: Projekt: Unsafe+Sounds Festival	Unsafe+Sounds	Unsafe+Sounds	unsafe sounds - verein zur verteidigung künstlerischer grauzonen
"Vienna.ACTS"", Verein zur Förderung von Kunst"	130944845	7	MA7	Beschluss	2024	15000.0	Förderbericht der Stadt Wien 2024 – Einzel- und Gesamtförderung im Bereich Musik	ausbezahlt: Projekt: DE/SEMBLE	DE/SEMBLE Festival		"""vienna.acts"", verein zur förderung von kunst"
JazzWerkstatt Wien	59191016	20	MA7	Beschluss	2024	35000.0	Förderbericht der Stadt Wien 2024 – Einzel- und Gesamtförderung im Bereich Musik	ausbezahlt: 20 Jahre JazzWerkstatt Wien 30.000 + Erhöhung 5.000		JazzWerkstatt Wien	jazzwerkstatt wien
RRRIOT - Verein zur Förderung und Vermittlung feministischen Kulturschaffens	1768215396	10	MA7	Beschluss	2024	15000.0	Förderbericht der Stadt Wien 2024 – Einzel- und Gesamtförderung im Bereich Musik	ausbezahlt: Projekt: Dishes	Dishes		rrriot - verein zur förderung und vermittlung feministischen kulturschaffens
SISTERS - Verein für queer feministische Kunst und Kultur	914774238	15	MA7	Beschluss	2024	100000.0	Förderbericht der Stadt Wien 2024 – Einzel- und Gesamtförderung im Bereich Musik	ausbezahlt: Projekt: HYPERREALITY - Festival für Club Culture - Vienna 2024			sisters - verein für queer feministische kunst und kultur
Sandkasten Syndikat - Verein zur transkulturellen und interdisziplinären\nkünstlerischen Vernetzung und Kulturvermittlung	1740449626	17	MA7	Beschluss	2022	2500.0	Förderbericht der Stadt Wien 2022	ausbezahlt: Klub Montage	Klub Montage	Sandkasten Syndikat	sandkasten syndikat - verein zur transkulturellen und interdisziplinären\nkünstlerischen vernetzung und kulturvermittlung
Sandkasten Syndikat - Verein zur transkulturellen und interdisziplinären\nkünstlerischen Vernetzung und Kulturvermittlung	1740449627	17	MA7	Beschluss	2023	5000.0	Förderbericht der Stadt Wien 2023	ausbezahlt: Klub.Montage – öffentliche Impro-Konzerte und transdiziplinäre Jam-Sessions 2023	Klub Montage	Sandkasten Syndikat	sandkasten syndikat - verein zur transkulturellen und interdisziplinären\nkünstlerischen vernetzung und kulturvermittlung
Sandkasten Syndikat - Verein zur transkulturellen und interdisziplinären\nkünstlerischen Vernetzung und Kulturvermittlung	1740449628	17	MA7	Beschluss	2024	8000.0	Förderbericht der Stadt Wien 2024 – Einzel- und Gesamtförderung im Bereich Musik	ausbezahlt: Sandkasten Syndikat	Sandkasten Syndikat	Sandkasten Syndikat	sandkasten syndikat - verein zur transkulturellen und interdisziplinären\nkünstlerischen vernetzung und kulturvermittlung
Studio Dan - Verein für Neue Musik	408034688	20	MA7	Beschluss	2025	100000.0	Förderbericht der Stadt Wien 2025	mehrjährige Gesamtförderung 2024-2025 (2025)		Studio Dan	studio dan - verein für neue musik
ExMachinisMusicae: Verein zur Förderung von transdisziplinärer, transkultureller\nund transmedialer Kunst	[nicht dokumentiert]	14	MA7	Beschluss	2024	3500.0	Förderbericht der Stadt Wien 2024	EMM an der Hohen Wand	EMM an der Hohen Wand	ExMachinisMusicae	exmachinismusicae: verein zur förderung von transdisziplinärer, transkultureller\nund transmedialer kunst
A M B I T U S – Gruppe für neue Musik	228515470	17	MA7	Beschluss	2024	4000.0	Förderbericht der Stadt Wien 2024	Konzerte mit zeitgenössischer Musik			ambitus - gruppe für neue musik
