datum;event_name;venue
2022-10-21;moozak multichannel series #02 / elak conc...;klangtheater
2022-10-22;re_composed 2022 (Tag 4);echoraum
2022-10-22;smallforms;chateau rouge
2022-10-23;KNH-Sonntagskind #28;echoraeume fs2
2022-10-24;KNH-Darkroom #11;echoraeume fs2
2022-10-24;monday improvisers session;celeste
2022-10-25;KNH-Stories #7;echoraeume fs2
2022-10-28;Vítková · Dahl · Matbou Riahi;echoraum
2022-10-30;11:00 Studio Dan @ Wien Modern;alte schmiede
2022-10-31;monday improvisers session;celeste
2022-11-03;free music forum: ISM: Thomas & Grip & Gerbal;celeste
2022-11-05;on the couch #74 - Herbert/Herbert/Herbert;studio eberhard
2022-11-07;monday improvisers session;celeste
2022-11-11;BRAUCHEN @ Reaktor / Wien Modern (premiere...;reaktor
2022-11-12;BRAUCHEN @ Reaktor / Wien Modern – 19h30;reaktor
2022-11-14;monday improvisers session;celeste
2022-11-15;on the couch #75 - Alexanderr J. Eberhard ...;studio eberhard
2022-11-16;Chang / Hautzinger / Klement;alte schmiede
2022-11-16;22h DerBloedeDritteMittwoch#122;klangtheater
2022-11-19;smallforms;chateau rouge
2022-11-19;KNH-Shorts #11: Open Call für Musikvideos;echoraeume fs2
2022-11-19;20h Studio Session #5;westbahnstudios
2022-11-20;KNH-Sonntagskind #29: Inga Lynch + Wende P...;echoraeume fs2
2022-11-21;(MUSICAL) ETHICS LAB 3.1;odeon
2022-11-21;monday improvisers session;celeste
2022-11-22;(MUSICAL) ETHICS LAB 3.1;odeon
2022-11-25;on the couch #76 - Hell/Leibetseder/Stangl;studio eberhard
2022-11-26;The Hitchhiker’s guide to the synestheti...;reaktor
2022-11-28;monday improvisers session;celeste
2022-11-29;Marina Poleukhina: Right-left I you step a...;echoraum
2022-11-30;Marina Poleukhina: Right-left I you step a...;echoraum
2022-12-02;Christine Abdelnour & Christof Kurzmann;echoraum
2022-12-04;close| distant  - Matinee;westbahnstudios
2022-12-05;monday improvisers session;celeste
2022-12-07;billy roisz - ceci n'est pas une télévision;echoraum
2022-12-10;Nachhall #4: Daphne Oram – Tuned Visions;echoraum
2022-12-10;smallforms;chateau rouge
2022-12-10;KNH-Shorts #12 | Junges Kino;echoraeume fs2
2022-12-10;puneh ansari liest. beauchamp * geissler s...;vekks
2022-12-10;Sounds evoking images - Screening + Kutin ...;reaktor
2022-12-11;KNH-Sonntagskind #30: Bitten By + cherem e...;echoraeume fs2
2022-12-12;monday improvisers session;celeste
2022-12-12;KNH-Darkroom #12;echoraeume fs2
2022-12-13;KNH-Stories #8: Schimmel & Schein;echoraeume fs2
2022-12-15;Pneuma;echoraum
2022-12-16;on the couch #77 - Eberhard/Gross/Herbert;studio eberhard
2022-12-16;billy roisz - electric saloon;echoraum
2022-12-16;sounds of the living;ail
2022-12-19;monday improvisers session;celeste
2022-12-20;20:00 Studio Session #6;westbahnstudios
2022-12-21;19h30 der bloede dritte mittwoch #123;echoraum
2023-01-09;monday improvisers session;celeste
2023-01-14;Walshe / Lehn: Hörraum & Companion Species;echoraum
