datum;event_name;venue
2022-06-10;on the couch #70 - Wolfgang Mitterer/Alexa...;studio eberhard
2022-06-10;LISA SPALT / SABINE MARTE / OLIVER STOTZ;alte schmiede
2022-06-11;Duo Hofmaninger/Schwarz;echoraum
2022-06-11;16h graetzlrauschen I – wohnzimmer;dornerplatz
2022-06-11;VELAK Gala #120;klangtheater
2022-06-12;Wolfgang Seierl & Claudia Pettrich - d´ u...;st. ruprecht (neue musik in)
2022-06-12;Biosphere RAD Performance;soundride - check event det...
2022-06-13;monday improvisers session;celeste
2022-06-14;3x30 BAD WEED*TRONSTONER*HALF DARLING;fluc wanne
2022-06-15;18h30!! DerBloedeDritteMittwoch#119;ateliertheater
2022-06-15;poème électronique#39;echoraum
2022-06-15;Rdeča Raketa & Patrick K.-H. & Ivan Maru�...;trg republike
2022-06-15;KNH-Signs over Wo:men #5: Die Schwerelosig...;kulturcafe max
2022-06-15;Sprachspiel (Aichinger / Heilmayr / Stangl);galerie mana
2022-06-15;Pneuma 'Intangible' Album Release;westbahnstudios
2022-06-15;Rdeča Raketa ..and cannot reach the silen...;cankarjev dom
2022-06-17;schnitzel '21, live: greta christensen & d...;echoraum
2022-06-17;[screening] zounk!;les voutes
2022-06-17;KINKY MUPPET @ Café Wolf;cafe wolf
2022-06-18;KNH-Shorts9;echoraeume fs2
2022-06-18;KINKY MUPPET @ VEKKS;vekks
2022-06-19;KNH-Sonntagskind26: Bondi Fern, Zelda;echoraeume fs2
2022-06-19;Biosphere RAD Performance;soundride - check event det...
2022-06-20;KNH-Darkroom10 // 9pm;echoraeume fs2
2022-06-20;monday improvisers session;celeste
2022-06-21;xx y x - billy roisz & karolina preuschl;echoraum
2022-06-21;KNH-Stories 6;echoraeume fs2
2022-06-23;free music forum: Joe Mc Phee & John Edwards;celeste
2022-06-23;radio art zone shows this week;radio.art zone
2022-06-25;Hörraum #5;echoraum
2022-06-26;Biosphere RAD Performance;soundride - check event det...
2022-06-26;dronau canal;central garden
2022-06-27;Styrian Improvisers Orchestra Feat. Renee ...;stockwerk
2022-06-27;monday improvisers session;celeste
2022-06-28;20h studio session #4;westbahnstudios
2022-06-28;Radical Compromising or Critical Pragmatism?;das weisse haus
2022-06-30;radio art zone shows this week;radio.art zone
2022-06-30;STEFAN GEISSLER + BAND (sg+b);galerie michaela stock
2022-07-01;die revanche der schlangenfrau. ein klangc...;musilhaus
2022-07-02;Concert de l’atelier d’improvisation;centquatre
2022-07-04;monday improvisers session;celeste
2022-07-07;Of breath and sound;botanischer garten der univ...
2022-07-08;Oceanic Feeling at Ramificaciones: Ramific...;auditorio del cozcyt
2022-07-08;now sports (release concert);schaumbad
2022-07-08;Unexpected Territories - David Tudor;st. elisabeth kirche
2022-07-08;stefan geissler + hannes mueller feat. mar...;city club
2022-07-09;16h graetzlrauschen II – agora;viktor adler markt
2022-07-11;monday improvisers session;celeste
2022-07-12;The Bassenger;cafe wolf
2022-07-15;[screening] music video rising;filmmuseum
2022-07-17;IN THE HILLS, THE CITIES;symposion lindabrunn
2022-07-18;monday improvisers session;celeste
2022-07-22;konfrontationen day 1;jazzgalerie
2022-07-22;parken x ventil-records;zacherlfabrik
2022-07-23;konfrontationen day 2;jazzgalerie
2022-07-23;parken x ventil-records _ day2;zacherlfabrik
2022-07-24;konfrontationen day 3;jazzgalerie
2022-07-29;bulbul;agratamagatha festival
2022-07-30;gletscherzungen;cima norma
2022-07-31;boesze:fuchs:noid;mühlschüttelpark
2022-07-31;Sunday Chillout - The Bassenger live;alte feuerwache loschwitz
2022-08-01;fragile black flamingo sessions;zum schwarzen flamingo
2022-08-01;19.00 Studio Dan / Schaller / Femenine;stadtpark
2022-08-01;19.00 Studio Dan / Schaller / Femenine CLONE;stadtpark
2022-08-02;19.00 Studio Dan / Schaller / Femenine;stadtpark
2022-08-03;The Bassenger;vétomat
2022-08-04;18.30 Studio Dan / Schaller / Femenine;donaupromenade bei der u6 s...
2022-08-06;The Bassenger;hitnessclub
2022-08-06;Hiesig.Narrative vom Überleben;hoftheater hainersdorf
2022-08-07;Flowers we are...;kultursommer wien - herderpark
2022-08-07;Hiesig.Narrative vom Überleben;hoftheater hainersdorf
2022-08-12;Die andere Hälfte des Himmels;hin und weg
2022-08-13;Die andere Hälfte des Himmels + FANIS;hin und weg
2022-08-13;Hiesig.Narrative vom Überleben;hoftheater hainersdorf
2022-08-14;FANIS;hin und weg
2022-08-14;Hiesig.Narrative vom Überleben;hoftheater hainersdorf
2022-08-15;Hiesig.Narrative vom Überleben;hoftheater hainersdorf
2022-08-18;The Bassenger/Dunkelwellen;xerox exotique
2022-08-20;Matija Schellander: Krastal Filter Juni / ...;[kunstwek] krastal
2022-08-20;The Bassenger/elektrojudas;rechts-der-wertach
2022-08-20;Hiesig.Narrative vom Überleben;hoftheater hainersdorf
2022-08-23;tuesday@secession: hui ye, billy roisz;secession
2022-08-27;[screening] one corner of paradise;festival der neue heimatfilm
2022-08-27;Klangmanifeste - Sympoietic Symphony I;symposion lindabrunn
2022-08-28;Klangmanifeste - Sympoietic Symphony II;symposion lindabrunn
2022-09-02;Antarctic Traces Revisited;cinémathèque québécoise
2022-09-03;Klangmanifeste - Sympoietic Symphony III;symposion lindabrunn
2022-09-04;Klangmanifeste - Sympoietic Symphony IV;symposion lindabrunn
2022-09-05;monday improvisers session;celeste
2022-09-07;ZONK!?!! Preview Konzert by Studio Dan;radio orange grätzloase @ ...
2022-09-08;free music forum: Charles & Gauguet & Mala...;celeste
2022-09-08;Love’s Labour’s Lost (Verlorene Liebes...;volkspark laaerberg
2022-09-09;Klangmanifeste @ echoraum;echoraum
2022-09-09;Improvised Music from TJ Borden (US), Adel...;central garden
2022-09-10;Klangmanifeste @ echoraum CLONE;echoraum
2022-09-10;velak#121 @ Symposion Lindabrunn;symposion lindabrunn
2022-09-11;"KMET solo ""you treat me like""";großenzerdorfer höfefest
2022-09-12;monday improvisers session;celeste
2022-09-14;Vitalʹnya Vienna;flucc
2022-09-15;18.30h ZONK!?!! by Studio Dan - Eröffnung;brigittaplatz, 1200 wien
2022-09-15;Les Marquises · Stefan Fraunberger;echoraum
2022-09-16;VNM Festival - Ukraine mees Sytria - Tag 1;auditorium / joanneumviertel
2022-09-16;12h ZONK!?!! by Studio Dan - Gordon/Reich;maria-restituta-platz
2022-09-16;13h ZONK!?!! by Studio Dan - Bauckholt;allerheiligenpark
2022-09-16;15h ZONK!?!! by Studio Dan - Hautzinger;xian
2022-09-16;16h ZONK!?!! by Studio Dan - Scelsi;gaußplatz 9
2022-09-16;16.30h ZONK!?!! by Studio Dan - Yaeger;rakete bar
2022-09-16;17h ZONK!?!! by Studio Dan - Geißelbrecht;friedensbruecke
2022-09-16;18.30h ZONK!?!! by Studio Dan - Riegler;hugo-gottschlich-park
2022-09-16;21h ZONK!?!! by Studio Dan - Surprise/Bauc...;xian
2022-09-17;16h graetzlrauschen III – cirkus;ilgplatz
2022-09-17;VNM Festival - Ukraine mees Sytria - Tag 2;auditorium / joanneumviertel
2022-09-17;12h ZONK!?!! by Studio Dan - Forciniti/Kli...;hannovermarkt
2022-09-17;13.30h ZONK!?!! by Studio Dan - Riegler/Ho...;kluckyland
2022-09-17;14.30h ZONK!?!! by Studio Dan - Leon;brigittaplatz
2022-09-17;15h ZONK!?!! by Studio Dan - Frey;hellwagstraße/universumstr...
2022-09-17;15.30h ZONK!?!! by Studio Dan - Mingus;vorgartenstraße/durchlaufs...
2022-09-17;16h ZONK!?!! by Studio Dan - Fuss;maria-restituta-platz
2022-09-17;17h ZONK!?!! by Studio Dan - Kienberger;georg-danzer-steg
2022-09-17;18.30h ZONK!?!! by Studio Dan - Beer/Hummer;friedrich-engels-platz
2022-09-17;21h ZONK!?!! by Studio Dan - Hyxos/Schwarz;xian
2022-09-17;billy roisz - who's afraid of colors;simultan festival
2022-09-17;dimensions variable#-kisling/karolina preu...;???
2022-09-18;11h ZONK!?!! by Studio Dan - Fuss/Eastman/...;allerheiligenpark
2022-09-19;monday improvisers session;celeste
2022-09-20;KNH-Open House Special: Jan Rohrweg;cafe max
2022-09-21;19h30! DerBloedeDritteMittwoch#120;ateliertheater
2022-09-22;die revanche der schlangenfrau. ein klangc...;literarisches colloquim
2022-09-22;free music forum: Die Hochstapler;celeste
2022-09-22;shut up and listen! 2022: AMONG OTHERS (Ta...;echoraum
2022-09-22;We had a lot of bells;schauspielhaus
2022-09-23;shut up and listen! 2022: AMONG OTHERS (Ta...;echoraum
2022-09-23;SOS - Eine kleine Weltuntergangsmusik by S...;alte gießerei (halle 6)
2022-09-23;MATTERS II: Herbst spielt ## Winter liest;oag kulturverein
2022-09-23;Phal:Angst, Primordial Undermind live;venster 99
2022-09-24;shut up and listen! 2022: AMONG OTHERS (Ta...;echoraum
2022-09-24;We had a lot of bells;schauspielhaus
2022-09-24;dimensions variable#f.hautzinger/adele knall;???
