Verein	Jahr	Betrag_EUR	Förderung_Bezirk	Projekttitel	Status	Quelle
ECHOLOT - Kulturverein für transdisziplinäre Kunst & Artistic Research	2023	400	2	Mondmeer & Marguerite 	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2023, Dezentrale Bezirkskulturförderungen
ECHOLOT - Kulturverein für transdisziplinäre Kunst & Artistic Research	2024	8000	10	Jahresprogramm 2024	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2024, Dezentrale Bezirkskulturförderungen
ECHOLOT - Kulturverein für transdisziplinäre Kunst & Artistic Research	2025	8000	[nicht dokumentiert]	[nicht dokumentiert]	Bestätigt	Transparenzportal IFG 2025
ECHOLOT - Kulturverein für transdisziplinäre Kunst & Artistic Research	2025	28000	[nicht dokumentiert]	[nicht dokumentiert]	Bestätigt	Transparenzportal IFG 2025
ExMachinisMusicae: Verein zur Förderung von transdisziplinärer, transkultureller und transmedialer Kunst	2024	1000	18	EMM an der Hohen Wand	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2024, Dezentrale Bezirkskulturförderungen
Kulturverein Free Music Forum mit dem Zusatz Forum für free Jazz & freie Improvisation	2022	1500	5	Free Music Forum	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2022, Dezentrale Bezirkskulturförderungen
Kulturverein Free Music Forum mit dem Zusatz Forum für free Jazz & freie Improvisation	2023	1500	5	free music forum Konzertreihe 2023	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2023, Dezentrale Bezirkskulturförderungen
Kulturverein Free Music Forum mit dem Zusatz Forum für free Jazz & freie Improvisation	2024	1800	5	free music forum Konzertreihe 2024	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2024, Dezentrale Bezirkskulturförderungen
IMPROPER WALLS – Kulturverein zur Förderung von Kunst und soziokulturellen Initiativen	2022	4000	15	Jahresprogramm 2022	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2022, Dezentrale Bezirkskulturförderungen
IMPROPER WALLS – Kulturverein zur Förderung von Kunst und soziokulturellen Initiativen	2023	4000	15	Jahresprogramm 2023	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2023, Dezentrale Bezirkskulturförderungen
IMPROPER WALLS – Kulturverein zur Förderung von Kunst und soziokulturellen Initiativen	2024	3000	15	Jahresprogramm 2024	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2024, Dezentrale Bezirkskulturförderungen
IMPROPER WALLS – Kulturverein zur Förderung von Kunst und soziokulturellen Initiativen	2025	3500	[nicht dokumentiert]	[nicht dokumentiert]	Bestätigt	Transparenzportal IFG 2025
JazzWerkstatt Wien	2024	500	9	ALL THE THINGS YOU ARE	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2024, Dezentrale Bezirkskulturförderungen
